Method,Cluster,NumTraces,Precision,Fitness,FScore,VariabilityRatio,Miner
HDBSCAN-TFIDF,Cluster 664,3,0.07256697185486605,1.0,0.1353145747707872,1.0,inductive
HDBSCAN-TFIDF,Cluster 665,10,0.05667708421319373,1.0,0.1072741806554757,1.0,inductive
HDBSCAN-TFIDF,Cluster 666,19,0.0849336345665066,0.992681716758856,0.156478962680614,0.9473684210526315,inductive
HDBSCAN-TFIDF,Cluster 667,5,0.43511450381679384,1.0,0.6063829787234042,1.0,inductive
HDBSCAN-TFIDF,Cluster 668,6,0.26050955414012744,0.9969325153374233,0.41307739160700085,1.0,inductive
HDBSCAN-TFIDF,Cluster 669,6,0.4773333333333334,0.9805210480381781,0.6420879701623444,1.0,inductive
HDBSCAN-TFIDF,Cluster 670,7,0.7722772277227723,0.9829642248722317,0.8649760241392233,1.0,inductive
HDBSCAN-TFIDF,Cluster 671,3,0.041189042160481804,1.0,0.07911923866392977,1.0,inductive
HDBSCAN-TFIDF,Cluster 672,2,0.7431693989071038,1.0,0.8526645768025078,1.0,inductive
HDBSCAN-TFIDF,Cluster 673,7,0.05248588196213044,0.9696506966978431,0.09958154922525422,1.0,inductive
HDBSCAN-TFIDF,Cluster 674,4,0.2817824377457405,0.9951040171089072,0.4391977605924971,1.0,inductive
HDBSCAN-TFIDF,Cluster 675,2,0.6293103448275862,1.0,0.7724867724867724,1.0,inductive
HDBSCAN-TFIDF,Cluster 676,3,0.5744125326370757,1.0,0.7296849087893864,1.0,inductive
HDBSCAN-TFIDF,Cluster 677,4,0.541501976284585,1.0,0.7025641025641025,1.0,inductive
HDBSCAN-TFIDF,Cluster 678,12,0.6219758064516129,0.9859566476807973,0.76276982841108,1.0,inductive
HDBSCAN-TFIDF,Cluster 679,3,0.6298507462686567,1.0,0.7728937728937728,1.0,inductive
HDBSCAN-TFIDF,Cluster 680,6,0.9188405797101449,0.9947916666666666,0.9553088932541278,0.6666666666666666,inductive
HDBSCAN-TFIDF,Cluster 681,4,0.6666666666666667,1.0,0.8,1.0,inductive
HDBSCAN-TFIDF,Cluster 682,4,0.03959439884113958,1.0,0.07617278216442179,0.75,inductive
HDBSCAN-TFIDF,Cluster 683,4,0.9448818897637795,1.0,0.97165991902834,0.5,inductive
HDBSCAN-TFIDF,Cluster 684,2,0.3977591036414566,1.0,0.5691382765531063,1.0,inductive
HDBSCAN-TFIDF,Cluster 685,4,0.5121527777777778,1.0,0.677382319173364,1.0,inductive
HDBSCAN-TFIDF,Cluster 686,2,0.46451612903225803,1.0,0.6343612334801763,1.0,inductive
HDBSCAN-TFIDF,Cluster 687,4,0.0667933749660603,0.9951923076923077,0.12518483828263577,1.0,inductive
HDBSCAN-TFIDF,Cluster 688,2,0.05603448275862066,1.0,0.1061224489795918,1.0,inductive
HDBSCAN-TFIDF,Cluster 689,2,0.05619768832204064,1.0,0.10641509433962261,1.0,inductive
HDBSCAN-TFIDF,Cluster 690,2,0.7213114754098361,1.0,0.8380952380952381,1.0,inductive
HDBSCAN-TFIDF,Cluster 691,2,0.8571428571428572,1.0,0.9230769230769231,1.0,inductive
HDBSCAN-TFIDF,Cluster 692,2,0.5,1.0,0.6666666666666666,1.0,inductive
HDBSCAN-TFIDF,Cluster 693,3,0.3662477558348295,1.0,0.5361366622864653,1.0,inductive
HDBSCAN-TFIDF,Cluster 694,2,0.5509433962264151,1.0,0.7104622871046229,1.0,inductive
HDBSCAN-TFIDF,Cluster 695,4,0.34725848563968664,1.0,0.5155038759689922,1.0,inductive
HDBSCAN-TFIDF,Cluster 696,10,0.6044692737430167,0.9942263279445728,0.7518370173214289,0.9,inductive
HDBSCAN-TFIDF,Cluster 697,3,0.39076376554174064,1.0,0.5619412515964239,1.0,inductive
HDBSCAN-TFIDF,Cluster 698,2,0.031852654387865664,1.0,0.06173876522469552,1.0,inductive
HDBSCAN-TFIDF,Cluster 699,3,0.4218415417558886,1.0,0.5933734939759036,1.0,inductive
HDBSCAN-TFIDF,Cluster 700,2,0.04663677130044841,1.0,0.0891173950299914,1.0,inductive
HDBSCAN-TFIDF,Cluster 701,3,0.038541306602143055,1.0,0.07422200033283398,1.0,inductive
HDBSCAN-TFIDF,Cluster 702,4,0.6122448979591837,1.0,0.759493670886076,1.0,inductive
HDBSCAN-TFIDF,Cluster 703,5,0.25942684766214175,1.0,0.41197604790419157,1.0,inductive
HDBSCAN-TFIDF,Cluster 704,37,0.3873061095283318,0.9893974294515657,0.5566916308825054,1.0,inductive
HDBSCAN-TFIDF,Cluster 705,3,0.4516129032258065,1.0,0.6222222222222222,1.0,inductive
HDBSCAN-TFIDF,Cluster 706,2,0.054338668913226584,1.0,0.10307630842988408,1.0,inductive
HDBSCAN-TFIDF,Cluster 707,3,0.5423280423280423,1.0,0.7032590051457976,1.0,inductive
HDBSCAN-TFIDF,Cluster 708,2,0.36543209876543215,1.0,0.5352622061482822,1.0,inductive
HDBSCAN-TFIDF,Cluster 709,2,0.4903225806451613,1.0,0.658008658008658,1.0,inductive
HDBSCAN-TFIDF,Cluster 710,3,0.6891891891891893,1.0,0.8160000000000001,1.0,inductive
HDBSCAN-TFIDF,Cluster 711,5,0.5346938775510204,0.9949748743718593,0.6955845479290418,1.0,inductive
HDBSCAN-TFIDF,Cluster 712,2,0.18085106382978722,1.0,0.30630630630630623,1.0,inductive
HDBSCAN-TFIDF,Cluster 713,2,0.7208121827411167,1.0,0.8377581120943952,1.0,inductive
HDBSCAN-TFIDF,Cluster 714,8,0.4550209205020921,0.9905660377358491,0.623592054065124,1.0,inductive
HDBSCAN-TFIDF,Cluster 715,2,0.6244131455399061,1.0,0.7687861271676302,1.0,inductive
HDBSCAN-TFIDF,Cluster 716,2,0.6118721461187215,1.0,0.7592067988668556,1.0,inductive
HDBSCAN-TFIDF,Cluster 717,6,0.04634671394200329,0.99568345323741,0.08857067220787068,1.0,inductive
HDBSCAN-TFIDF,Cluster 718,4,0.05571665285832639,1.0,0.10555228565823026,1.0,inductive
HDBSCAN-TFIDF,Cluster 719,3,0.18594306049822062,1.0,0.3135783945986496,1.0,inductive
HDBSCAN-TFIDF,Cluster 720,2,0.04470588235294115,1.0,0.08558558558558554,1.0,inductive
HDBSCAN-TFIDF,Cluster 721,3,0.07003317360855144,1.0,0.13089906992766107,1.0,inductive
HDBSCAN-TFIDF,Cluster 722,2,0.35467980295566504,1.0,0.5236363636363637,1.0,inductive
HDBSCAN-TFIDF,Cluster 723,2,0.19972640218878246,1.0,0.3329532497149373,1.0,inductive
HDBSCAN-TFIDF,Cluster 724,15,0.30515806988352745,0.9853360614633908,0.46599708344117013,1.0,inductive
HDBSCAN-TFIDF,Cluster 725,4,0.3501170960187353,1.0,0.5186470078057241,1.0,inductive
HDBSCAN-TFIDF,Cluster 726,4,0.29640718562874246,1.0,0.4572748267898383,1.0,inductive
HDBSCAN-TFIDF,Cluster 727,3,0.4737945492662474,1.0,0.6429587482219061,1.0,inductive
HDBSCAN-TFIDF,Cluster 728,4,0.062426934767360276,0.9979550102249489,0.11750345735003076,1.0,inductive
HDBSCAN-TFIDF,Cluster 729,3,0.4147727272727273,1.0,0.5863453815261045,1.0,inductive
HDBSCAN-TFIDF,Cluster 730,3,0.4988009592326139,1.0,0.6656,1.0,inductive
HDBSCAN-TFIDF,Cluster 731,3,0.48853211009174313,1.0,0.6563944530046225,1.0,inductive
HDBSCAN-TFIDF,Cluster 732,7,0.1769722814498934,0.9735076044498795,0.29949912880671525,1.0,inductive
HDBSCAN-TFIDF,Cluster 733,4,0.26515837104072393,1.0,0.4191702432045779,1.0,inductive
HDBSCAN-TFIDF,Cluster 734,2,0.18801996672212984,1.0,0.3165266106442578,1.0,inductive
